lat,lon,psi
35.815, -82.3, 0
35.668, -82.163, 0
35.522, -82.027, 0
35.375, -81.892, 0
35.228, -81.758, 0
35.081, -81.625, 0
34.934, -81.493, 0
34.787, -81.361, 0
34.64, -81.23, 0
34.493, -81.1, 0
34.346, -80.971, 0
34.199, -80.843, 0
34.051, -80.715, 0
31.199, 168.15, 0
31.347, 168.26, 0
31.495, 168.37, 0
31.643, 168.49, 0
31.791, 168.6, 0
31.939, 168.72, 0
32.087, 168.84, 0
32.235, 168.95, 0
32.383, 169.07, 0
32.531, 169.19, 0
32.679, 169.31, 0
32.827, 169.43, 0
32.974, 169.55, 0
33.122, 169.67, 0
33.27, 169.79, 0
33.418, 169.91, 0
33.566, 170.04, 0
33.714, 170.16, 0
33.862, 170.29, 0
34.009, 170.41, 0
34.157, 170.54, 0
34.305, 170.67, 0
34.453, 170.79, 0
34.6, 170.92, 0
34.748, 171.05, 0
34.895, 171.18, 0
35.043, 171.31, 0
35.19, 171.45, 0
35.338, 171.58, 0
35.485, 171.71, 0
35.632, 171.85, 0
35.779, 171.98, 0
35.926, 172.12, 0
36.073, 172.26, 0
36.22, 172.39, 0
36.367, 172.53, 0
36.514, 172.67, 0
36.66, 172.81, 0
36.807, 172.96, 0
36.954, 173.1, 0
37.1, 173.24, 0
37.246, 173.39, 0
37.392, 173.53, 0
37.538, 173.68, 0
37.684, 173.83, 0
37.83, 173.97, 0
37.976, 174.12, 0
38.121, 174.27, 0
38.266, 174.42, 0
38.412, 174.58, 0
38.557, 174.73, 0
38.702, 174.88, 0
38.847, 175.04, 0
38.991, 175.19, 0
39.136, 175.35, 0
39.28, 175.51, 0
39.424, 175.67, 0
39.568, 175.83, 0
39.712, 175.99, 0
39.855, 176.15, 0
39.999, 176.31, 0
40.142, 176.48, 0
40.285, 176.64, 0
40.428, 176.81, 0
40.57, 176.98, 0
40.713, 177.15, 0
40.855, 177.32, 0
40.997, 177.49, 0
41.138, 177.66, 0
41.28, 177.83, 0
41.421, 178.01, 0
41.562, 178.18, 0
41.702, 178.36, 0
41.843, 178.54, 0
41.983, 178.71, 0
42.123, 178.89, 0
42.263, 179.08, 0
42.402, 179.26, 0
42.541, 179.44, 0
42.68, 179.63, 0
42.818, 179.81, 0
42.956, -180, 0
43.094, -179.81, 0
43.232, -179.62, 0
43.369, -179.43, 0
43.506, -179.24, 0
43.642, -179.05, 0
43.778, -178.85, 0
43.914, -178.65, 0
44.05, -178.46, 0
44.185, -178.26, 0
44.319, -178.06, 0
44.454, -177.86, 0
44.588, -177.65, 0
44.721, -177.45, 0
44.855, -177.25, 0
44.987, -177.04, 0
45.12, -176.83, 0
45.252, -176.62, 0
45.383, -176.41, 0
45.514, -176.2, 0
45.645, -175.99, 0
45.775, -175.77, 0
45.905, -175.55, 0
46.035, -175.34, 0
46.163, -175.12, 0
46.292, -174.9, 0
46.42, -174.68, 0
46.547, -174.45, 0
46.674, -174.23, 0
46.801, -174, 0
46.926, -173.77, 0
47.052, -173.55, 0
47.177, -173.31, 0
47.301, -173.08, 0
47.425, -172.85, 0
47.548, -172.61, 0
47.671, -172.38, 0
47.793, -172.14, 0
47.915, -171.9, 0
48.036, -171.66, 0
48.156, -171.42, 0
48.276, -171.17, 0
48.395, -170.93, 0
48.513, -170.68, 0
48.631, -170.43, 0
48.749, -170.18, 0
48.865, -169.93, 0
48.981, -169.68, 0
49.097, -169.42, 0
49.212, -169.16, 0
49.326, -168.91, 0
49.439, -168.65, 0
49.552, -168.39, 0
49.664, -168.12, 0
49.775, -167.86, 0
49.885, -167.59, 0
49.995, -167.33, 0
50.104, -167.06, 0
50.213, -166.79, 0
50.32, -166.51, 0
50.427, -166.24, 0
50.533, -165.96, 0
50.638, -165.69, 0
50.743, -165.41, 0
50.846, -165.13, 0
50.949, -164.85, 0
51.051, -164.56, 0
51.152, -164.28, 0
51.253, -163.99, 0
51.352, -163.7, 0
51.451, -163.41, 0
51.549, -163.12, 0
51.646, -162.83, 0
51.742, -162.53, 0
51.837, -162.24, 0
